qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;QKfz;Statusflag;QLkw;Statusflag;QPkw;Statusflag;VKfz;Statusflag;VLkw;Statusflag;VPkw;Statusflag
0;0 Fehl nErm ;300060;0,97 Intp ;;;299820;0,97 Intp ;60180;0,97 Intp ;;;0;0 Fehl nErm ;3540;0,97 Intp ;;;74;1;127;0,97 Intp ;;;111;1 Intp ;163;0,97 Intp ;;;74;1;89;0,97 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600060;0,97 Intp ;27660;1;;;0;1;21660;1;;;5340;0,97 Intp ;3540;0,97 Intp ;;;157;0,97 Intp ;125;1;;;0;0 Fehl nErm ;133;1;;;113;0,97 Intp ;89;0,97 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600060;0,97 Intp ;256440;1;;;120180;0,97 Intp ;60180;0,97 Intp ;;;27120;1 Intp ;3540;0,97 Intp ;;;72;1;67;1;;;72;1;70;1;;;5;1 Intp ;37;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600060;0,97 Intp ;300060;0,97 Intp ;;;120180;0,97 Intp ;60180;0,97 Intp ;;;0;1;2460;1;;;71;1;101;1;;;71;1;101;1;;;0;0 Fehl nErm ;44;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0 Fehl nErm ;232620;1;;;299820;0,97 Intp ;60180;0,97 Intp ;;;0;0 Fehl nErm ;3540;0,97 Intp ;;;157;0,97 Intp ;127;0,97 Intp ;;;16;1 Intp ;163;0,97 Intp ;;;113;0,97 Intp ;70;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600060;0,97 Intp ;232320;1;;;0;1;60180;0,97 Intp ;;;5340;0,97 Intp ;120;1;;;3;1;127;0,97 Intp ;;;0;0 Fehl nErm ;163;0,97 Intp ;;;3;1;89;0,97 Intp 
0;0 Fehl nErm ;300060;0,97 Intp ;;;161520;1 Intp ;60180;0,97 Intp ;;;0;0 Fehl nErm ;3540;0,97 Intp ;;;157;0,97 Intp ;127;0,97 Intp ;;;84;1 Intp ;163;0,97 Intp ;;;113;0,97 Intp ;89;0,97 Intp 
243720;1 Intp ;300060;0,97 Intp ;;;238800;1 Intp ;60180;0,97 Intp ;;;0;0 Fehl nErm ;2520;1;;;157;0,97 Intp ;33;1;;;97;1 Intp ;33;1;;;113;0,97 Intp ;71;1
0;0 Fehl nErm ;0;0 Fehl nErm ;;;120180;0,97 Intp ;120180;0,97 Intp ;;;0;0 Fehl nErm ;0;0 Fehl nErm ;;;88;1;10;1;;;45;1 Intp ;0;0 Fehl nErm ;;;113;0,97 Intp ;2;1
600060;0,97 Intp ;183600;1;;;120180;0,97 Intp ;60180;0,97 Intp ;;;5340;0,97 Intp ;3540;0,97 Intp ;;;89;1;13;1;;;197;0,97 Intp ;8;1;;;62;1;41;1
434220;1 Intp ;598080;1;;;0;0 Fehl nErm ;585480;1;;;19080;1 Intp ;12600;1;;;61;0,97 Intp ;55;1;;;0;0 Fehl nErm ;55;1;;;0;0 Fehl nErm ;61;0,97 Intp 
3181500;1;555660;1;;;2916540;1;529080;1;;;264960;1;26580;1;;;65;1;175;1;;;62;1;184;1;;;95;1;61;0,9409 Intp 
300360;1 Intp ;174420;1;;;0;0 Fehl nErm ;168900;1;;;1080;1 Intp ;5520;1;;;61;0,97 Intp ;170;1;;;0;0 Fehl nErm ;172;1;;;0;0 Fehl nErm ;99;1
345300;1 Intp ;459600;1;;;0;0 Fehl nErm ;448440;1;;;20160;1 Intp ;11160;1;;;238;1;237;1;;;79;1 Intp ;243;1;;;101;1;61;0,9409 Intp 
255240;1 Intp ;31620;1;;;0;0 Fehl nErm ;14580;1;;;19620;1 Intp ;17040;1;;;1136;1;69;1;;;205;1 Intp ;143;1;;;200;1;61;0,9409 Intp 
