qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;tNetto(t)(1);Statusflag;tNetto(t)(2);Statusflag;tNetto(t)(3);Statusflag
10001;0,97 wMaL ;3877;1;5426;1;0;1 nErf ;3600;1 nErf ;5115;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;311;1;244;1 nErf ;167;1 nErf ;21;1 nErf ;174;1;175;1;16;1;244;1;70;1;96;1;71;1;192;1;135;1;73;1;5;1;4;1;56;1;137;1;243;1
10001;0,97 wMaL ;3872;1;3630;1;0;1 nErf ;3870;1 nErf ;3214;1 nErf ;89;0,97 wMaL ;2;1;416;1;3;1 nErf ;253;1 nErf ;103;1 nErf ;-1;0 nErm ;253;1;115;1;3;1;96;1;13;1;106;1;198;1;58;1;27;1;40;1;42;1;4;1;22;1;161;1
-2;0 Impl ;5001;0,97 wMaL ;2712;1;-1;0 nErm nErf ;9359;1 nErf ;2692;1 nErf ;-2;0 Impl ;59;0,97 wMaL ;20;1;-1;0 nErm nErf ;163;1 nErf ;84;1 nErf ;121;1;165;1;84;1;159;1;97;1;34;1;32;1;128;1;155;1;8;1;45;1;37;1;73;1;135;1;96;1
6574;1;5001;0,97 wMaL ;4062;1;0;1 nErf ;6961;1 nErf ;3980;1 nErf ;89;0,97 wMaL ;42;1;82;1;181;1 nErf ;33;1 nErf ;96;1 nErf ;193;1;33;1;97;1;181;1;71;1;30;1;213;1;90;1;89;1;61;1;1;1;21;1;249;1;47;1;225;1
10001;0,97 wMaL ;-2;0 Impl ;181;1;36087;1 nErf ;-1;0 nErm nErf ;46;1 nErf ;89;0,97 wMaL ;-2;0 Impl ;135;1;88;1 nErf ;-1;0 nErm nErf ;92;1 nErf ;0;1;93;1;45;1;202;1;2;1;108;1;209;1;46;1;67;1;52;1;49;1;39;1;87;1;254;1;112;1
10001;0,97 wMaL ;3060;1;8469;1;9644;1 nErf ;2629;1 nErf ;8027;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;442;1;89;1 nErf ;13;1 nErf ;114;1 nErf ;229;1;8;1;116;1;62;1;41;1;85;1;13;1;57;1;154;1;99;1;40;1;5;1;206;1;127;1;47;1
-2;0 Impl ;-2;0 Fehl Impl ;7237;1;-1;0 nErm nErf ;9758;1 nErf ;6919;1 nErf ;-2;0 Impl ;-2;0 Fehl Impl ;318;1;-1;0 nErm nErf ;55;1 nErf ;140;1 nErf ;0;1;55;1;145;1;0;1;34;1;34;1;53;1;80;1;54;1;76;1;7;1;52;1;141;1;229;1;85;1
-2;0 Fehl Impl ;-2;0 Fehl Impl ;4326;1;48609;1 nErf ;8818;1 nErf ;3870;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;456;1;65;1 nErf ;175;1 nErf ;10;1 nErf ;62;1;184;1;7;1;95;1;1;1;33;1;119;1;66;1;74;1;19;1;3;1;15;1;253;1;89;1;102;1
-2;0 Impl ;2907;1;5006;1;-1;0 nErm nErf ;2815;1 nErf ;4988;1 nErf ;-2;0 Impl ;-2;0 Fehl Impl ;18;1;-1;0 nErm nErf ;170;1 nErf ;192;1 nErf ;16;1;172;1;192;1;0;1;99;1;61;1;89;1;170;1;7;1;24;1;48;1;17;1;91;1;114;1;44;1
-2;0 Impl ;-2;0 Fehl Impl ;5755;1;-1;0 nErm nErf ;7474;1 nErf ;5419;1 nErf ;-2;0 Impl ;-2;0 Fehl Impl ;336;1;-1;0 nErm nErf ;237;1 nErf ;79;1 nErf ;96;1;243;1;79;1;101;1;4;1;83;1;173;1;81;1;128;1;54;1;4;1;4;1;65;1;29;1;215;1
-2;0 Impl ;527;1;4254;1;-1;0 nErm nErf ;243;1 nErf ;3927;1 nErf ;-2;0 Impl ;-2;0 Fehl Impl ;327;1;-1;0 nErm nErf ;69;1 nErf ;194;1 nErf ;106;1;143;1;205;1;200;1;6;1;59;1;108;1;139;1;82;1;2;1;54;1;22;1;0;1;201;1;160;1
-2;0 Impl ;2959;1;4167;1;-1;0 nErm nErf ;2861;1 nErf ;3772;1 nErf ;-2;0 Impl ;-2;0 Fehl Impl ;395;1;-1;0 nErm nErf ;91;1 nErf ;58;1 nErf ;23;1;91;1;57;1;117;1;93;1;64;1;2;1;117;1;73;1;19;1;25;1;2;1;61;1;151;1;0;1
-2;0 Fehl Impl ;-2;0 Impl ;243;1;32711;1 nErf ;-1;0 nErm nErf ;48;1 nErf ;-2;0 Fehl Impl ;-2;0 Impl ;195;1;172;1 nErf ;-1;0 nErm nErf ;41;1 nErf ;163;1;187;1;157;1;190;1;81;1;12;1;43;1;62;1;142;1;19;1;31;1;5;1;60;1;154;1;226;1
-2;0 Impl ;-2;0 Fehl Impl ;3435;1;-1;0 nErm nErf ;5635;1 nErf ;3291;1 nErf ;-2;0 Impl ;-2;0 Fehl Impl ;144;1;-1;0 nErm nErf ;213;1 nErf ;233;1 nErf ;139;1;221;1;239;1;150;1;116;1;92;1;105;1;86;1;130;1;6;1;54;1;16;1;232;1;16;1;66;1
-2;0 Impl ;-2;0 Fehl Impl ;8018;1;-1;0 nErm nErf ;4950;1 nErf ;7612;1 nErf ;-2;0 Impl ;-2;0 Fehl Impl ;406;1;-1;0 nErm nErf ;122;1 nErf ;157;1 nErf ;6;1;122;1;160;1;162;1;115;1;97;1;105;1;43;1;132;1;97;1;12;1;59;1;119;1;120;1;99;1
100;1;-2;0 Fehl Impl ;1553;1;100;1 nErf ;4970;1 nErf ;1482;1 nErf ;0;1;-2;0 Fehl Impl ;71;1;120;1 nErf ;200;1 nErf ;138;1 nErf ;120;1;203;1;141;1;-1;0 nErm ;43;1;82;1;183;1;179;1;86;1;50;1;51;1;29;1;109;1;159;1;189;1
100;1;1932;1;4808;1;100;1 nErf ;1573;1 nErf ;4663;1 nErf ;0;1;-2;0 Fehl Impl ;145;1;120;1 nErf ;93;1 nErf ;102;1 nErf ;120;1;97;1;105;1;-1;0 nErm ;76;1;20;1;121;1;164;1;48;1;49;1;54;1;1;1;77;1;85;1;151;1
534;1;2644;1;1304;1;466;1 nErf ;2343;1 nErf ;1103;1 nErf ;68;1;-2;0 Fehl Impl ;201;1;218;1 nErf ;112;1 nErf ;152;1 nErf ;244;1;126;1;165;1;39;1;1;1;81;1;64;1;91;1;57;1;21;1;24;1;7;1;204;1;64;1;90;1
7050;1;-2;0 Fehl Impl ;4492;1;6760;1 nErf ;5348;1 nErf ;3996;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;496;1;105;1 nErf ;161;1 nErf ;209;1 nErf ;107;1;163;1;222;1;58;1;91;1;104;1;10;1;180;1;69;1;24;1;37;1;53;1;207;1;53;1;108;1
8165;1;-2;0 Fehl Impl ;7521;1;8083;1 nErf ;9497;1 nErf ;7429;1 nErf ;82;1;-2;0 Fehl Impl ;92;1;115;1 nErf ;244;1 nErf ;206;1 nErf ;116;1;247;1;207;1;5;1;120;1;95;1;123;1;48;1;16;1;34;1;12;1;10;1;164;1;47;1;210;1
9725;1;-2;0 Fehl Impl ;3799;1;9238;1 nErf ;9480;1 nErf ;3790;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;9;1;123;1 nErf ;108;1 nErf ;86;1 nErf ;129;1;108;1;86;1;9;1;118;1;120;1;49;1;109;1;19;1;6;1;17;1;36;1;4;1;77;1;76;1
4663;1;1732;1;4453;1;4438;1 nErf ;1716;1 nErf ;4020;1 nErf ;-2;0 Fehl Impl ;16;1;433;1;36;1 nErf ;248;1 nErf ;143;1 nErf ;32;1;249;1;152;1;118;1;116;1;57;1;32;1;21;1;78;1;55;1;25;1;57;1;101;1;137;1;208;1
3002;1;1046;1;2286;1;2974;1 nErf ;769;1 nErf ;2279;1 nErf ;28;1;-2;0 Fehl Impl ;7;1;176;1 nErf ;83;1 nErf ;63;1 nErf ;177;1;85;1;63;1;25;1;78;1;27;1;31;1;13;1;16;1;24;1;42;1;56;1;239;1;91;1;9;1
7502;1;-2;0 Fehl Impl ;9627;1;7318;1 nErf ;7621;1 nErf ;9236;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;391;1;246;1 nErf ;108;1 nErf ;191;1 nErf ;252;1;109;1;197;1;26;1;93;1;59;1;183;1;122;1;94;1;1;1;48;1;27;1;57;1;230;1;208;1
3515;1;1528;1;9394;1;3100;1 nErf ;1382;1 nErf ;9153;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;241;1;168;1 nErf ;136;1 nErf ;239;1 nErf ;190;1;138;1;244;1;7;1;119;1;55;1;4;1;38;1;38;1;50;1;58;1;24;1;60;1;2;1;107;1
7757;1;-2;0 Fehl Impl ;6794;1;7582;1 nErf ;6352;1 nErf ;6318;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;476;1;27;1 nErf ;229;1 nErf ;242;1 nErf ;26;1;236;1;253;1;81;1;98;1;97;1;37;1;170;1;39;1;16;1;34;1;39;1;64;1;194;1;128;1
743;1;2388;1;3296;1;615;1 nErf ;2333;1 nErf ;2998;1 nErf ;89;0,97 wMaL ;55;1;298;1;36;1 nErf ;105;1 nErf ;226;1 nErf ;25;1;105;1;239;1;91;1;91;1;93;1;188;1;10;1;149;1;4;1;14;1;18;1;146;1;235;1;216;1
1984;1;161;1;6273;1;1941;1 nErf ;26;1 nErf ;5911;1 nErf ;43;1;59;0,97 wMaL ;362;1;161;1 nErf ;74;1 nErf ;225;1 nErf ;164;1;19;1;238;1;24;1;84;1;21;1;83;1;50;1;76;1;39;1;4;1;47;1;120;1;197;1;183;1
641;1;1991;1;9125;1;329;1 nErf ;1873;1 nErf ;9121;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;4;1;129;1 nErf ;25;1 nErf ;11;1 nErf ;170;1;20;1;11;1;86;1;112;1;61;1;166;1;152;1;56;1;29;1;2;1;49;1;213;1;251;1;192;1
3583;1;5001;0,97 wMaL ;2515;1;3366;1 nErf ;5785;1 nErf ;2473;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;42;1;71;1 nErf ;123;1 nErf ;54;1 nErf ;73;1;129;1;53;1;38;1;47;1;118;1;77;1;172;1;105;1;60;1;20;1;21;1;41;1;65;1;31;1
4870;1;3708;1;9611;1;4512;1 nErf ;3236;1 nErf ;9242;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;369;1;197;1 nErf ;30;1 nErf ;100;1 nErf ;207;1;32;1;102;1;76;1;14;1;60;1;171;1;57;1;2;1;33;1;26;1;5;1;166;1;147;1;235;1
5112;1;5001;0,97 wMaL ;2228;1;4981;1 nErf ;6945;1 nErf ;1896;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;332;1;44;1 nErf ;80;1 nErf ;191;1 nErf ;45;1;81;1;212;1;25;1;57;1;69;1;182;1;101;1;74;1;47;1;54;1;49;1;24;1;39;1;87;1
3735;1;3014;1;569;1;3553;1 nErf ;2524;1 nErf ;487;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;82;1;138;1 nErf ;192;1 nErf ;186;1 nErf ;140;1;210;1;207;1;90;1;101;1;60;1;40;1;153;1;6;1;32;1;41;1;17;1;144;1;113;1;116;1
9859;1;5001;0,97 wMaL ;8246;1;9553;1 nErf ;6252;1 nErf ;7992;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;254;1;180;1 nErf ;219;1 nErf ;148;1 nErf ;185;1;227;1;150;1;36;1;85;1;79;1;172;1;100;1;93;1;58;1;50;1;56;1;164;1;12;1;241;1
407;1;5001;0,97 wMaL ;8260;1;222;1 nErf ;7670;1 nErf ;8081;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;179;1;142;1 nErf ;247;1 nErf ;237;1 nErf ;185;1;254;1;240;1;90;1;111;1;84;1;16;1;92;1;86;1;4;1;17;1;23;1;195;1;196;1;176;1
2307;1;825;1;646;1;2015;1 nErf ;360;1 nErf ;466;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;180;1;106;1 nErf ;30;1 nErf ;178;1 nErf ;109;1;24;1;221;1;88;1;35;1;65;1;191;1;105;1;36;1;46;1;45;1;35;1;99;1;173;1;16;1
50;1;4618;1;6531;1;47;1 nErf ;4456;1 nErf ;6217;1 nErf ;3;1;59;0,97 wMaL ;314;1;206;1 nErf ;2;1 nErf ;134;1 nErf ;216;1;1;1;140;1;47;1;29;1;10;1;157;1;135;1;2;1;18;1;46;1;24;1;214;1;37;1;227;1
9261;1;1420;1;3764;1;9025;1 nErf ;1413;1 nErf ;3364;1 nErf ;89;0,97 wMaL ;7;1;400;1;153;1 nErf ;189;1 nErf ;91;1 nErf ;156;1;190;1;89;1;28;1;37;1;108;1;55;1;27;1;7;1;32;1;20;1;55;1;22;1;90;1;228;1
1003;1;5001;0,97 wMaL ;349;1;704;1 nErf ;7827;1 nErf ;138;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;211;1;199;1 nErf ;90;1 nErf ;91;1 nErf ;243;1;91;1;78;1;94;1;67;1;100;1;57;1;137;1;62;1;56;1;36;1;17;1;82;1;207;1;239;1
2567;1;5001;0,97 wMaL ;1910;1;2076;1 nErf ;5426;1 nErf ;1709;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;201;1;96;1 nErf ;203;1 nErf ;60;1 nErf ;99;1;212;1;63;1;82;1;50;1;31;1;21;1;165;1;120;1;12;1;38;1;25;1;223;1;1;1;122;1
7757;1;5001;0,97 wMaL ;9773;1;7725;1 nErf ;4782;1 nErf ;9442;1 nErf ;32;1;59;0,97 wMaL ;331;1;23;1 nErf ;137;1 nErf ;226;1 nErf ;23;1;143;1;231;1;77;1;68;1;74;1;139;1;171;1;138;1;53;1;15;1;56;1;103;1;205;1;203;1
6796;1;5001;0,97 wMaL ;4043;1;6766;1 nErf ;7972;1 nErf ;3755;1 nErf ;30;1;59;0,97 wMaL ;288;1;86;1 nErf ;42;1 nErf ;48;1 nErf ;86;1;42;1;49;1;57;1;92;1;40;1;98;1;83;1;34;1;5;1;18;1;30;1;228;1;139;1;160;1
8091;1;5001;0,97 wMaL ;6151;1;8086;1 nErf ;9235;1 nErf ;5966;1 nErf ;5;1;59;0,97 wMaL ;185;1;231;1 nErf ;190;1 nErf ;205;1 nErf ;231;1;195;1;211;1;37;1;32;1;26;1;160;1;55;1;128;1;23;1;43;1;24;1;200;1;158;1;132;1
7243;1;5001;0,97 wMaL ;4599;1;6803;1 nErf ;9388;1 nErf ;4567;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;32;1;144;1 nErf ;219;1 nErf ;7;1 nErf ;153;1;220;1;7;1;4;1;100;1;78;1;20;1;18;1;88;1;30;1;14;1;34;1;174;1;200;1;3;1
851;1;5001;0,97 wMaL ;1365;1;355;1 nErf ;8521;1 nErf ;1272;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;93;1;156;1 nErf ;243;1 nErf ;213;1 nErf ;211;1;246;1;228;1;117;1;36;1;7;1;12;1;158;1;152;1;12;1;42;1;18;1;196;1;187;1;164;1
1323;1;2544;1;472;1;1149;1 nErf ;2353;1 nErf ;281;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;191;1;70;1 nErf ;181;1 nErf ;22;1 nErf ;64;1;188;1;10;1;111;1;98;1;39;1;100;1;139;1;120;1;57;1;52;1;9;1;57;1;65;1;33;1
7562;1;-2;0 Fehl Impl ;2723;1;7483;1 nErf ;5415;1 nErf ;2664;1 nErf ;79;1;-2;0 Fehl Impl ;59;1;25;1 nErf ;220;1 nErf ;115;1 nErf ;24;1;228;1;116;1;104;1;99;1;73;1;199;1;33;1;3;1;40;1;22;1;26;1;9;1;8;1;211;1
6265;1;-2;0 Fehl Impl ;8892;1;5911;1 nErf ;8557;1 nErf ;8681;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;211;1;98;1 nErf ;91;1 nErf ;207;1 nErf ;98;1;91;1;211;1;94;1;92;1;45;1;53;1;23;1;117;1;47;1;17;1;32;1;154;1;209;1;235;1
1737;1;2441;1;1705;1;1364;1 nErf ;2361;1 nErf ;1698;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;7;1;36;1 nErf ;153;1 nErf ;224;1 nErf ;13;1;156;1;225;1;118;1;69;1;26;1;4;1;187;1;141;1;54;1;39;1;32;1;197;1;30;1;157;1
4048;1;1347;1;4030;1;3949;1 nErf ;860;1 nErf ;3967;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;63;1;244;1 nErf ;17;1 nErf ;150;1 nErf ;249;1;16;1;151;1;58;1;20;1;91;1;16;1;144;1;91;1;54;1;43;1;56;1;134;1;191;1;92;1
5523;1;-2;0 Fehl Impl ;5602;1;5128;1 nErf ;5583;1 nErf ;5403;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;199;1;73;1 nErf ;25;1 nErf ;33;1 nErf ;75;1;25;1;30;1;46;1;28;1;120;1;83;1;85;1;96;1;4;1;51;1;24;1;102;1;77;1;225;1
7115;1;-2;0 Fehl Impl ;7741;1;6742;1 nErf ;8640;1 nErf ;7526;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;215;1;233;1 nErf ;67;1 nErf ;53;1 nErf ;240;1;68;1;54;1;99;1;36;1;3;1;169;1;56;1;45;1;49;1;11;1;49;1;39;1;179;1;227;1
5552;1;-2;0 Fehl Impl ;8276;1;5343;1 nErf ;5869;1 nErf ;8137;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;139;1;13;1 nErf ;27;1 nErf ;147;1 nErf ;11;1;26;1;149;1;60;1;45;1;16;1;154;1;167;1;40;1;57;1;19;1;19;1;238;1;155;1;24;1
1812;1;2439;1;8267;1;1782;1 nErf ;1997;1 nErf ;7798;1 nErf ;30;1;-2;0 Fehl Impl ;469;1;139;1 nErf ;118;1 nErf ;14;1 nErf ;140;1;129;1;12;1;73;1;66;1;53;1;61;1;50;1;117;1;15;1;21;1;28;1;133;1;63;1;116;1
9703;1;926;1;1139;1;9281;1 nErf ;889;1 nErf ;757;1 nErf ;-2;0 Fehl Impl ;37;1;382;1;66;1 nErf ;75;1 nErf ;151;1 nErf ;69;1;75;1;194;1;6;1;86;1;65;1;81;1;1;1;47;1;15;1;58;1;45;1;83;1;192;1;247;1
6869;1;3702;1;6092;1;6480;1 nErf ;3462;1 nErf ;6048;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;44;1;207;1 nErf ;84;1 nErf ;70;1 nErf ;216;1;82;1;70;1;53;1;116;1;114;1;130;1;99;1;81;1;21;1;24;1;12;1;154;1;247;1;142;1
5288;1;3807;1;9211;1;5107;1 nErf ;3499;1 nErf ;8941;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;270;1;246;1 nErf ;93;1 nErf ;99;1 nErf ;252;1;91;1;99;1;85;1;118;1;100;1;166;1;189;1;150;1;44;1;10;1;3;1;252;1;140;1;23;1
7967;1;3779;1;4863;1;7845;1 nErf ;3358;1 nErf ;4399;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;464;1;44;1 nErf ;104;1 nErf ;167;1 nErf ;44;1;117;1;177;1;30;1;0;1;76;1;67;1;161;1;110;1;57;1;15;1;56;1;197;1;88;1;16;1
8057;1;1255;1;1056;1;7654;1 nErf ;923;1 nErf ;569;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;487;1;162;1 nErf ;55;1 nErf ;86;1 nErf ;170;1;74;1;156;1;15;1;2;1;4;1;158;1;34;1;15;1;36;1;47;1;21;1;79;1;43;1;170;1
2622;1;-2;0 Fehl Impl ;3497;1;2304;1 nErf ;6386;1 nErf ;3318;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;179;1;235;1 nErf ;150;1 nErf ;122;1 nErf ;252;1;157;1;126;1;113;1;59;1;51;1;138;1;2;1;6;1;1;1;21;1;22;1;104;1;20;1;45;1
1780;1;177;1;6716;1;1425;1 nErf ;26;1 nErf ;6376;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;340;1;84;1 nErf ;124;1 nErf ;234;1 nErf ;81;1;253;1;241;1;98;1;102;1;108;1;37;1;171;1;122;1;24;1;48;1;28;1;81;1;167;1;119;1
8668;1;1840;1;9610;1;8177;1 nErf ;1775;1 nErf ;9267;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;343;1;203;1 nErf ;225;1 nErf ;192;1 nErf ;209;1;229;1;196;1;95;1;109;1;95;1;129;1;25;1;57;1;36;1;35;1;15;1;132;1;45;1;58;1
1148;1;964;1;5755;1;844;1 nErf ;469;1 nErf ;5702;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;53;1;71;1 nErf ;57;1 nErf ;210;1 nErf ;62;1;70;1;211;1;95;1;45;1;107;1;84;1;139;1;75;1;50;1;39;1;32;1;12;1;232;1;75;1
595;1;-2;0 Fehl Impl ;-2;0 Impl ;528;1 nErf ;9473;1 nErf ;-1;0 nErm nErf ;67;1;-2;0 Fehl Impl ;-2;0 Impl ;104;1 nErf ;203;1 nErf ;-1;0 nErm nErf ;113;1;209;1;87;1;37;1;62;1;53;1;35;1;198;1;38;1;37;1;20;1;41;1;212;1;46;1;203;1
7616;1;3676;1;9417;1;7274;1 nErf ;3258;1 nErf ;9402;1 nErf ;-2;0 Fehl Impl ;-2;0 Fehl Impl ;15;1;38;1 nErf ;189;1 nErf ;124;1 nErf ;35;1;206;1;124;1;95;1;58;1;31;1;90;1;37;1;131;1;6;1;52;1;57;1;147;1;82;1;116;1
